Country,Year,GDP_Growth,HDI
USA,2020,2.2,0.921
USA,2021,5.7,0.921
USA,2022,2.1,0.921
USA,2023,2.4,0.921
Canada,2020,1.8,0.929
Canada,2021,4.6,0.929
Canada,2022,3.4,0.929
Canada,2023,1.5,0.929
UK,2020,-9.8,0.932
UK,2021,7.4,0.932
UK,2022,4.1,0.932
UK,2023,0.5,0.932
Australia,2020,-2.2,0.944
Australia,2021,4.7,0.944
Australia,2022,3.7,0.944
Australia,2023,2.0,0.944
Germany,2020,-4.6,0.942
Germany,2021,2.9,0.942
Germany,2022,1.8,0.942
Germany,2023,0.2,0.942
Japan,2020,-4.5,0.919
Japan,2021,1.6,0.919
Japan,2022,1.0,0.919
Japan,2023,1.3,0.919
Singapore,2020,-4.1,0.938
Singapore,2021,7.6,0.938
Singapore,2022,3.6,0.938
Singapore,2023,2.2,0.938 